time,value1,value2,value3
151744,0,0.3333,0
151744,0,0.3666,0
151744,0,0.4,0
151744,0,0.4333,0
151744,0,0.4666,0
151744,0,0.5,0
151744,0,0.5333,0
151744,0,0.5666,0
151744,0,0.6,0
151744,0,0.6333,0
151744,0,0.6666,0
151744,0,0.7,0
151744,0,0.7333,0
151744,0,0.7666,0
151744,0,0.8,-0.054
151744,0,0.8333,-0.108
151744,0,0.8666,-0.162
151744,0,0.9,-0.215
151744,0,0.9333,-0.269
151744,0,0.9666,-0.321
151744,0,1,-0.267
151744,0,1,-0.213
151744,0,1,-0.159
151744,0,1,-0.106
151744,0,1,-0.052
151744,0,1,0
151744,0,1,0
151744,0,1,0
151744,0,1,0
151744,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0.0514
151745,0,1,0.1024
151745,0,1,0.153
151745,0,1,0.1016
151745,0,1,0.0506
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0
151745,0,1,0.047
151745,0,1,0.0937
151745,0,1,0.14
151745,0,1,0.186
151746,0,1,0.1389
151746,0,1,0.0922
151746,0,1,0.0459
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,-0.043
151746,0,1,-0.086
151746,0,1,-0.128
151746,0,1,-0.085
151746,0,1,-0.042
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151746,0,1,0
151747,0,0.9666,0
151747,0,0.9333,0
151747,0,0.9,0
151747,0,0.8666,0
151747,0,0.8333,0
151747,0,0.8,0
151747,0,0.7666,0
151747,0,0.7333,0
151747,0,0.7,0
151747,0,0.6666,0
151747,0,0.6333,-0.039
151747,0,0.6,-0.078
151747,0,0.5666,-0.117
151747,0,0.5333,-0.155
151747,0,0.5,-0.194
151747,0,0.4666,-0.231
151747,0,0.4333,-0.269
151747,0,0.4,-0.307
151747,0,0.3666,-0.344
151747,0,0.3333,-0.382
151747,0,0.3,-0.42
151747,0,0.2666,-0.458
151747,0,0.2333,-0.496
151747,0,0.2,-0.534
151747,0,0.1666,-0.573
151747,0,0.1333,-0.611
151747,0,0.1,-0.65
151747,0,0.0666,-0.612
151747,0,0.0333,-0.574
151747,0,0,-0.536
151748,0.3333,0,-0.498
151748,0.6666,0,-0.46
151748,1,0,-0.423
151748,1.3333,0,-0.387
151748,1.6666,0,-0.351
151748,2,0,-0.315
151748,2.3333,0,-0.279
151748,2.6666,0,-0.242
151748,3,0,-0.205
151748,2.6666,0,-0.166
151748,2.3333,0,-0.126
151748,2,0,-0.085
151748,1.6666,0,-0.043
151748,1.3333,0,0
151748,1,0,0
151748,0.6666,0,0
151748,0.3333,0,0
151748,0,0,0.0453
151748,0,0,0.0908
151748,0,0,0.1364
151748,0,0,0.1818
151748,0,0,0.2274
151748,0,0,0.2732
151748,0,0,0.3192
151748,0,0,0.3653
151748,0,0,0.4117
151748,0,0,0.4581
151748,0,0,0.5047
151748,0,0,0.5514
151748,0,0,0.598
